pair,side,bl_net,bl_hold,entry_step_vel,vel_hold,vel_gross,vel_net,is_winner_vel,max_hold_exit
NATGAS/COPPER,1,0.056522101650950236,2,2,0,0.0,-0.002,False,False
NATGAS/COPPER,-1,0.06774921675260004,26,2,22,0.06606650112573409,0.0616555422216245,True,False
NATGAS/COPPER,1,0.06397072240202169,88,4,84,0.07587090391548502,0.06466542446343022,True,False
NATGAS/COPPER,-1,-0.029728528087433342,295,2,293,-0.0034582923454182595,-0.03756788138651415,False,False
NATGAS/COPPER,1,-0.28798948151093373,300,2,296,-0.25166812955305934,-0.2861064857174429,False,False
NATGAS/COPPER,1,0.07961818850913993,75,2,70,0.04082687431396567,0.031155641437253342,True,False
NATGAS/COPPER,-1,0.0761105277672482,46,2,44,0.06511852670406133,0.05829660889584215,True,False
NATGAS/COPPER,1,0.09907681618821483,10,2,8,0.0315994614659929,0.028722749137225775,True,False
NATGAS/COPPER,1,-0.3716523754275859,300,2,298,-0.3599992831542522,-0.3946568174008276,False,False
NATGAS/COPPER,-1,0.062436512739289136,77,2,73,0.06822807216559532,0.058228072165595314,True,False
NATGAS/COPPER,-1,0.025471765589632947,132,2,128,0.0036233214014097363,-0.012404075858864237,False,False
NATGAS/COPPER,1,-0.023760986519677577,251,3,246,0.006828373054274635,-0.022130531055314408,False,False
NATGAS/COPPER,-1,0.0857235971896088,34,2,30,0.07587764700240734,0.07058997576953063,True,False
NATGAS/COPPER,1,0.034089732088563224,166,6,155,0.10724686180340254,0.08826056043353953,True,False
NATGAS/COPPER,-1,0.03484582917400528,144,2,142,0.05493356516316531,0.03737192132754887,True,False
NATGAS/COPPER,-1,0.00975722715475888,180,3,175,0.07044275140336752,0.04926466921158669,True,False
NATGAS/COPPER,-1,0.101795152312327,43,2,41,0.06297544117573448,0.056482290490802965,True,False
NATGAS/COPPER,-1,0.055286530749506894,111,2,109,0.03711276396062982,0.023167558481177762,True,False
NATGAS/COPPER,-1,0.10208511390173237,43,3,38,0.11233264410518409,0.10616826054354025,True,False
NATGAS/COPPER,-1,0.06833327376704286,154,4,148,0.09873195606365438,0.0805127779814626,True,False
NATGAS/COPPER,1,-0.13259567664164626,300,2,298,-0.12896512261387522,-0.16362265686045058,False,False
NATGAS/COPPER,1,0.06412596540167419,182,4,175,0.09408158397546817,0.07290350178368735,True,False
NATGAS/COPPER,-1,-0.01965563255088132,202,11,187,0.05369627140415518,0.031203120719223668,True,False
NATGAS/COPPER,1,0.06771105420058175,80,4,73,0.059358448277294695,0.04935844827729469,True,False
NATGAS/COPPER,-1,0.0633815354926276,44,2,42,0.034517959100228326,0.027915219374200925,True,False
NATGAS/COPPER,1,0.06099515504490084,99,3,94,0.05906553919443444,0.04676416933142074,True,False
NATGAS/COPPER,1,-0.038461989869073204,272,4,266,0.004845665030314775,-0.026305019901192075,False,False
NATGAS/COPPER,-1,-0.06986912493789997,245,7,236,0.006760111793486407,-0.02110290190514373,False,False
NATGAS/COPPER,1,-0.00527895012064163,264,2,259,0.009734976859201145,-0.020648584784634473,False,False
NATGAS/COPPER,-1,0.11426277973654742,84,2,81,0.10255978415495276,0.09168307182618564,True,False
NATGAS/COPPER,1,0.10395051234371389,202,2,200,0.11807020389377657,0.09415239567459849,True,False
NATGAS/BRENT,1,0.08727472786553483,58,3,53,0.11424465241794375,0.10643643323986156,True,False
NATGAS/BRENT,-1,0.07865432841171431,106,2,104,0.09291528589971544,0.07951802562574284,True,False
NATGAS/BRENT,1,-0.19878888683297857,300,4,294,-0.15550540015955241,-0.1897245782417442,False,False
NATGAS/BRENT,1,0.02107324744373141,167,3,164,0.034982063767703124,0.015009461027977095,True,False
NATGAS/BRENT,-1,0.07010081532416935,115,2,111,0.06270920534125979,0.04854482177961595,True,False
NATGAS/BRENT,-1,0.03209657782451045,182,4,176,0.09483921714073845,0.07355154590786174,True,False
NATGAS/BRENT,-1,-0.4133414574657793,300,2,298,-0.38381072766812163,-0.418468261914697,False,False
