exit_sd,long_label,short_label,n_trades,avg_gross,avg_net,avg_hold_cal,win_rate,total_EV
0.0,BWX,EMB,21,0.007921568200282045,-0.010743271982366354,166.66666666666666,0.42857142857142855,-0.22560871162969343
0.0,BWX,HYG,18,0.004485068851277559,-0.015500928104582411,178.72222222222223,0.5555555555555556,-0.2790167058824834
0.0,BWX,IEAG,20,0.004293090077268294,-0.011800060607663216,143.2,0.6,-0.2360012121532643
0.0,BWX,IEF,16,0.0009010065333702969,-0.01825926743923244,171.1875,0.6875,-0.29214827902771906
0.0,BWX,IEI,20,0.016954224125133685,0.0013651830292432748,138.6,0.7,0.027303660584865497
0.0,BWX,IGLT,21,0.017007609788680895,-0.0008953256320627415,159.71428571428572,0.5714285714285714,-0.01880183827331757
0.0,BWX,LQD,20,0.0073225874140892735,-0.012030837243444977,172.95,0.45,-0.24061674486889953
0.0,BWX,SHY,18,0.027294715649347098,0.011186953092269473,143.33333333333334,0.6666666666666666,0.2013651556608505
0.0,BWX,TIP,20,0.008883243972961464,-0.008294838218819357,153.1,0.65,-0.16589676437638715
0.0,BWX,TLT,17,-0.004560242588473075,-0.025569428728682585,188.05882352941177,0.5882352941176471,-0.4346802883876039
0.0,EMB,BWX,21,0.0038242183009660905,-0.01671929115761186,183.8095238095238,0.42857142857142855,-0.35110511430984903
0.0,EMB,HYG,18,0.004496474985242733,-0.013230770068029717,158.11111111111111,0.5555555555555556,-0.2381538612245349
0.0,EMB,IEAG,20,-0.002676085896388256,-0.025065126992278662,200.65,0.35,-0.5013025398455733
0.0,EMB,IEF,18,0.009904660239424178,-0.006842371724046141,149.16666666666666,0.6111111111111112,-0.12316269103283053
0.0,EMB,IEI,18,0.00862960885367133,-0.009956083688185598,165.94444444444446,0.5555555555555556,-0.17920950638734076
0.0,EMB,IGLT,18,0.0045643234540529,-0.015805235145642683,182.22222222222223,0.3888888888888889,-0.2844942326215683
0.0,EMB,LQD,26,0.014981078265422079,0.002096357506728717,113.92307692307692,0.6538461538461539,0.054505295174946636
0.0,EMB,SHY,19,-0.00024479775633345766,-0.018894257020933312,166.52631578947367,0.5263157894736842,-0.35899088339773294
0.0,EMB,TIP,27,0.009955763971516256,-0.005721760127925651,139.40740740740742,0.5555555555555556,-0.15448752345399258
0.0,EMB,TLT,24,0.02864670619382814,0.011246706193828141,155.125,0.6666666666666666,0.2699209486518754
0.0,HYG,BWX,20,0.0032930259377782515,-0.015556289130714902,168.35,0.55,-0.311125782614298
0.0,HYG,EMB,19,0.0050528403949216425,-0.013169798393831063,162.6315789473684,0.5263157894736842,-0.2502261694827902
0.0,HYG,IEAG,20,-0.0021200293022544977,-0.020585782726912034,164.85,0.5,-0.41171565453824066
0.0,HYG,IEF,21,0.0037132823537803445,-0.016271844847785214,178.71428571428572,0.5238095238095238,-0.3417087418034895
0.0,HYG,IEI,19,0.009048686761683682,-0.007420527369534776,146.6315789473684,0.5789473684210527,-0.14099002002116073
0.0,HYG,IGLT,20,-0.003230536526717522,-0.026183961184251776,205.8,0.4,-0.5236792236850355
0.0,HYG,LQD,18,-0.009398737763035358,-0.034291888447966865,223.5,0.2777777777777778,-0.6172539920634036
0.0,HYG,SHY,22,0.0005074104376024025,-0.016759339251065094,153.9090909090909,0.5,-0.3687054635234321
0.0,HYG,TIP,22,0.006845543767109383,-0.009315352870499581,143.8181818181818,0.5,-0.20493776315099077
