pair,side,bl_net,bl_hold,entry_step_vel,vel_hold,vel_gross,vel_net,is_winner_vel,max_hold_exit
NATGAS/COPPER,1,0.056522101650950236,2,1,1,0.004580061225311929,0.0024704721842160383,True,False
NATGAS/COPPER,-1,0.06774921675260004,26,2,22,0.06606650112573409,0.0616555422216245,True,False
NATGAS/COPPER,1,0.06397072240202169,88,1,87,0.06731642086113937,0.055782174285796904,True,False
NATGAS/COPPER,-1,-0.029728528087433342,295,2,293,-0.0034582923454182595,-0.03756788138651415,False,False
NATGAS/COPPER,1,-0.28798948151093373,300,2,296,-0.25166812955305934,-0.2861064857174429,False,False
NATGAS/COPPER,1,0.07961818850913993,75,1,74,0.0342208931670153,0.024111304125919407,True,False
NATGAS/COPPER,-1,0.0761105277672482,46,1,45,0.07672349543486397,0.0697919885855489,True,False
NATGAS/COPPER,1,0.09907681618821483,10,1,9,0.04570844861001062,0.0427221472401476,True,False
NATGAS/COPPER,1,-0.3716523754275859,300,1,299,-0.3585474873711696,-0.3933146106588408,False,False
NATGAS/COPPER,-1,0.062436512739289136,77,1,74,0.0624534275090447,0.05234383846794881,True,False
NATGAS/COPPER,-1,0.025471765589632947,132,1,129,0.016537039854773557,0.00040005355340369357,True,False
NATGAS/COPPER,1,-0.023760986519677577,251,3,246,0.006828373054274635,-0.022130531055314408,False,False
NATGAS/COPPER,-1,0.0857235971896088,34,2,30,0.07587764700240734,0.07058997576953063,True,False
NATGAS/COPPER,1,0.034089732088563224,166,5,158,0.13544867820725348,0.11613360971410279,True,False
NATGAS/COPPER,-1,0.03484582917400528,144,2,142,0.05493356516316531,0.03737192132754887,True,False
NATGAS/COPPER,-1,0.00975722715475888,180,2,176,0.05158913036483962,0.030301459131962905,True,False
NATGAS/COPPER,-1,0.101795152312327,43,1,42,0.08107712488657462,0.07447438516054722,True,False
NATGAS/COPPER,-1,0.055286530749506894,111,1,110,0.04875481799723142,0.034700023476683474,True,False
NATGAS/COPPER,-1,0.10208511390173237,43,3,38,0.11233264410518409,0.10616826054354025,True,False
NATGAS/COPPER,-1,0.06833327376704286,154,1,153,0.08281960761372255,0.06405248432605132,True,False
NATGAS/COPPER,1,-0.13259567664164626,300,1,299,-0.10416838256805569,-0.13893550585572692,False,False
NATGAS/COPPER,1,0.06412596540167419,182,2,180,0.09349909100557727,0.07177306360831699,True,False
NATGAS/COPPER,-1,-0.01965563255088132,202,1,201,0.002139376101686944,-0.02188802115858703,False,False
NATGAS/COPPER,1,0.06771105420058175,80,1,78,0.06757769410823046,0.057029748902751004,True,False
NATGAS/COPPER,-1,0.0633815354926276,44,1,43,0.0299726377806025,0.023260309013479214,True,False
NATGAS/COPPER,1,0.06099515504490084,99,2,97,0.10306811052723888,0.09043797354093751,True,False
NATGAS/COPPER,1,-0.038461989869073204,272,1,271,-0.005873995411003311,-0.03757262554798961,False,False
NATGAS/COPPER,-1,-0.06986912493789997,245,1,244,-0.04554553467979533,-0.07428526070719259,False,False
NATGAS/COPPER,1,-0.00527895012064163,264,2,259,0.009734976859201145,-0.020648584784634473,False,False
NATGAS/COPPER,-1,0.11426277973654742,84,1,82,0.11114732801840531,0.10016102664854229,True,False
NATGAS/COPPER,1,0.10395051234371389,202,1,201,0.11554024540832077,0.09151284814804679,True,False
NATGAS/BRENT,1,0.08727472786553483,58,2,56,0.10762622704840695,0.09948924074703708,True,False
NATGAS/BRENT,-1,0.07865432841171431,106,2,104,0.09291528589971544,0.07951802562574284,True,False
NATGAS/BRENT,1,-0.19878888683297857,300,3,295,-0.16070097274130368,-0.19502973986459135,False,False
NATGAS/BRENT,1,0.02107324744373141,167,1,166,0.03336931208819579,0.013177531266277978,True,False
NATGAS/BRENT,-1,0.07010081532416935,115,1,112,0.07794258455562621,0.06366861195288648,True,False
NATGAS/BRENT,-1,0.03209657782451045,182,3,177,0.08436587942271216,0.06296861914873955,True,False
NATGAS/BRENT,-1,-0.4133414574657793,300,1,299,-0.38315016185853296,-0.4179172851462042,False,False
NATGAS/BRENT,-1,0.10274234627621448,48,3,43,0.12246546787828752,0.11575313911116424,True,False
NATGAS/BRENT,-1,0.04987185897609075,29,1,28,0.04792275784202952,0.04285426469134458,True,False
NATGAS/BRENT,1,-0.21797523029697408,300,3,295,-0.16412907156046969,-0.19845783868375735,False,False
NATGAS/BRENT,-1,0.05603509863403366,149,3,146,0.13837676593606124,0.12037676593606124,True,False
NATGAS/BRENT,1,0.09780194216647302,43,1,42,0.09061100229411717,0.08400826256808977,True,False
NATGAS/BRENT,-1,0.08530730450088578,108,1,107,0.10365742994272276,0.08993140254546247,True,False
NATGAS/BRENT,-1,0.13307185053097287,84,2,80,0.13358365194990915,0.12281652866223791,True,False
