xing_sd,n_trades,pct_target_exit,avg_gross,avg_net,avg_hold_cal,avg_financing_cost,avg_spread_cost,avg_total_cost,win_rate,avg_dist_sd_at_entry,total_EV,vs_31_EV,vs_baseline_EV,beats_31,beats_baseline
2.0,648,0.9320987654320988,0.02480691355132016,0.01136585148468732,104.3996913580247,0.011441062066632843,0.002,0.013441062066632843,0.7330246913580247,-0.024707320270324656,7.365071762077383,-0.004928237922617207,1.7650717620773833,False,True
2.5,406,0.9211822660098522,0.031125324144958038,0.016175732404624676,118.16502463054188,0.012949591740333357,0.002,0.014949591740333357,0.7216748768472906,0.17381043441610874,6.567347356277619,-0.8026526437223813,0.9673473562776191,False,True
3.0,237,0.919831223628692,0.03677373245429334,0.020687610264824526,128.53586497890296,0.014086122189468817,0.002,0.016086122189468817,0.7215189873417721,0.47710881578936226,4.902963632763413,-2.467036367236587,-0.6970363672365867,False,False
