outcome,n,mean_peak_sd,mean_pct_hold_to_peak,mean_vel_5_at_peak,pct_vel5_neg_at_peak
Winners,410,2.769157067178523,0.17141089215925306,0.8189822512622683,0.0
Genuine losers,59,3.4059778915359393,0.2060922283647078,0.9202486233871048,0.0
Max-hold exits,116,3.287855297568397,0.2463428418681025,0.8044044407795918,0.0
