exit_sd,long_label,short_label,n_trades,avg_gross,avg_net,avg_hold_cal,win_rate,total_EV
0.0,CBK,CEI,23,-0.0048747859201538355,-0.025109806765895356,171.8695652173913,0.30434782608695654,-0.5775255556155932
0.0,CBK,CEY,32,-0.00585877575700613,-0.02758069356522531,185.4375,0.40625,-0.88258219408721
0.0,CBK,CFR,27,-0.008162616262365741,-0.027449983081239412,163.22222222222223,0.48148148148148145,-0.7411495431934642
0.0,CBK,CIL,43,0.02058362704687143,0.006226634374045687,118.23255813953489,0.7441860465116279,0.26774527808396453
0.0,CBK,CMD,27,-0.022083729921600216,-0.048169676141793,225.25925925925927,0.3333333333333333,-1.300581255828411
0.0,CBK,COI,37,0.01662973983917057,-1.750071826354611e-07,138.97297297297297,0.6756756756756757,-6.475265757512061e-06
0.0,CBK,CPH,30,-0.023952602836538318,-0.04535990877261139,182.56666666666666,0.4666666666666667,-1.3607972631783416
0.0,CBK,CRM,33,0.008856064222864377,-0.010652694598223213,165.24242424242425,0.5757575757575758,-0.35153892174136603
0.0,CBK,CTB,28,-0.015282195167227343,-0.037519768552745934,190.14285714285714,0.5,-1.0505535194768862
0.0,CBK,CTN,34,-0.0010040225825909254,-0.01823641581385604,144.47058823529412,0.6176470588235294,-0.6200381376711054
0.0,CBK,UKX,35,-0.003169838737505763,-0.02483754910932573,184.94285714285715,0.42857142857142855,-0.8693142188264005
0.0,CEI,CBK,24,-0.0031757238734094963,-0.023059742138249684,168.66666666666666,0.4166666666666667,-0.5534338113179924
0.0,CEI,CEY,22,0.008330898270802968,-0.0092085786905918,147.27272727272728,0.6363636363636364,-0.2025887311930196
0.0,CEI,CFR,22,-0.00590668164132555,-0.026081276909071506,171.3181818181818,0.4090909090909091,-0.5737880919995731
0.0,CEI,CIL,34,0.037956619375867924,0.02509167175298315,104.61764705882354,0.7941176470588235,0.8531168396014271
0.0,CEI,CMD,26,0.0073474687798689795,-0.011713226689045668,161.15384615384616,0.5769230769230769,-0.3045438939151874
0.0,CEI,COI,21,0.009266220339020517,-0.010591705296987311,168.42857142857142,0.47619047619047616,-0.22242581123673355
0.0,CEI,CPH,15,-0.0643294916263962,-0.09154136377251493,235.53333333333333,0.2,-1.373120456587724
0.0,CEI,CRM,24,0.028699203814449587,0.009527514316732691,162.16666666666666,0.6666666666666666,0.2286603436015846
0.0,CEI,CTB,29,0.012236383164516211,-0.002450343335247602,121.24137931034483,0.7931034482758621,-0.07105995672218046
0.0,CEI,CTN,19,-0.0066155723431716,-0.027130208248002174,174.42105263157896,0.47368421052631576,-0.5154739567120413
0.0,CEI,UKX,23,-0.006934144118564627,-0.02988983202803455,196.69565217391303,0.391304347826087,-0.6874661366447946
0.0,CEY,CBK,31,-0.00830444819156552,-0.031148548942780727,195.67741935483872,0.3548387096774194,-0.9656050172262025
0.0,CEY,CEI,23,0.011416419538810046,-0.004878160568396625,135.91304347826087,0.6956521739130435,-0.11219769307312238
0.0,CEY,CFR,26,-0.0069411934292389855,-0.02801664126907039,179.53846153846155,0.5,-0.7284326729958301
