exit_sd,n_trades,hold_p10,hold_p25,hold_p50,hold_p75,hold_p90,hold_mean,pct_max_hold_exits
0.0,3374,31.0,63.0,133.0,277.0,300.0,157.51393005334913,0.2160640189685833
0.5,3725,20.0,40.0,85.0,185.0,300.0,118.21610738255033,0.09932885906040269
1.0,4468,10.0,21.0,49.0,98.0,180.0,72.70568487018801,0.01768128916741271
1.5,6272,4.0,9.0,21.0,47.0,83.0,34.739955357142854,0.0
