quintile,vel_range,n,mean_peak_sd,mean_pct_hold_to_peak,mean_vel_5_at_peak,pct_vel5_neg_at_peak
1,"[-0.77,0.51]",117,2.745520149608615,0.2235991204828359,0.8025074517979275,0.0
2,"[0.52,0.78]",116,2.7708652400811298,0.18169774751101975,0.7449016371178967,0.0
3,"[0.79,1.08]",117,2.8671930865455626,0.1574540295842045,0.827859728854095,0.0
4,"[1.08,1.55]",116,3.045335905324101,0.19856287963723593,0.8307913481181834,0.0
5,"[1.55,5.18]",117,3.2541632342221263,0.18211056899081346,0.9618633742525341,0.0
