n_days_before_peak,n_valid,pct_vel5_neg,pct_accel5_neg,mean_vel5
10,226,0.3495575221238938,0.4425287356321839,0.18713027164056437
5,277,0.37545126353790614,0.46017699115044247,0.15771202422320382
3,308,0.22727272727272727,0.43983402489626555,0.3327486636827921
1,344,0.06686046511627906,0.33079847908745247,0.5553488054911122
0,371,0.0,0.18772563176895307,0.8296639745960389
