exit_sd,long_label,short_label,n_trades,avg_net,avg_hold_cal,win_rate,total_EV
0.0,BRENT,NATGAS,23,0.008222925019468306,145.2173913043478,0.6521739130434783,0.18912727544777105
0.0,BRENT,WHEAT,23,0.03738439185169061,132.0,0.8260869565217391,0.859841012588884
0.0,COFFEE,NATGAS,37,0.03523664551168562,120.91891891891892,0.7837837837837838,1.303755883932368
0.0,COFFEE,SILVER,31,-0.0003357592147038368,146.93548387096774,0.7419354838709677,-0.01040853565581894
0.0,COPPER,NATGAS,31,0.015259042920083002,141.8709677419355,0.6774193548387096,0.47303033052257304
0.0,GOLD,NATGAS,30,-0.03592234007738916,186.13333333333333,0.5666666666666667,-1.0776702023216749
0.0,NATGAS,BRENT,22,0.019712265628748903,127.45454545454545,0.8181818181818182,0.43366984383247587
0.0,NATGAS,COFFEE,36,0.027844707350943836,127.72222222222223,0.7777777777777778,1.002409464633978
0.0,NATGAS,COPPER,31,0.01671956659648113,143.58064516129033,0.7096774193548387,0.5183065644909151
0.0,NATGAS,GOLD,27,-0.049035196526278337,199.2962962962963,0.48148148148148145,-1.323950306209515
0.0,NATGAS,SOYBEANS,25,-0.015690157320237347,175.36,0.56,-0.3922539330059337
0.0,NATGAS,SUGAR,33,0.013941732421249263,148.27272727272728,0.696969696969697,0.46007716990122566
0.0,PLATINUM,SOYBEANS,27,0.005276478263161546,144.14814814814815,0.7037037037037037,0.14246491310536175
0.0,SILVER,COFFEE,38,0.03407992741689251,114.6842105263158,0.8421052631578947,1.2950372418419154
0.0,SOYBEANS,NATGAS,31,0.005777040905104637,156.80645161290323,0.6774193548387096,0.17908826805824374
0.0,SOYBEANS,PLATINUM,23,-0.003458178235724346,154.2173913043478,0.6521739130434783,-0.07953809942165996
0.0,SOYBEANS,WHEAT,30,0.02075618157610618,135.3,0.7333333333333333,0.6226854472831853
0.0,SUGAR,NATGAS,30,-0.019882347538536287,178.96666666666667,0.5666666666666667,-0.5964704261560886
0.0,WHEAT,BRENT,26,0.04249603615308987,108.8076923076923,0.8461538461538461,1.1048969399803366
0.0,WHEAT,SOYBEANS,29,0.01702507094239086,146.20689655172413,0.6896551724137931,0.4937270573293349
0.5,BRENT,NATGAS,26,0.01960368148464855,91.38461538461539,0.7692307692307693,0.5096957186008624
0.5,BRENT,WHEAT,23,0.023426985390383456,97.82608695652173,0.782608695652174,0.5388206639788194
0.5,COFFEE,NATGAS,40,0.027467928748147734,89.15,0.775,1.0987171499259094
0.5,COFFEE,SILVER,40,0.026572666909701448,86.45,0.825,1.062906676388058
0.5,COPPER,NATGAS,32,0.010379728940791162,111.1875,0.71875,0.33215132610531717
0.5,GOLD,NATGAS,36,-0.0051474949351084645,122.83333333333333,0.6666666666666666,-0.18530981766390472
0.5,NATGAS,BRENT,23,0.013341955169005807,93.30434782608695,0.782608695652174,0.30686496888713355
