xing_sd,long_label,short_label,n_trades,avg_gross,avg_net,avg_hold_cal,win_rate,total_EV
2.0,BRENT,NATGAS,26,0.0316184338555653,0.01960368148464855,91.38461538461539,0.7692307692307693,0.5096957186008624
2.0,BRENT,WHEAT,23,0.03614765245411187,0.023426985390383456,97.82608695652173,0.782608695652174,0.5388206639788194
2.0,COFFEE,NATGAS,40,0.039237791761846365,0.027467928748147734,89.15,0.775,1.0987171499259094
2.0,COFFEE,SILVER,40,0.03804663951244117,0.026572666909701448,86.45,0.825,1.062906676388058
2.0,COPPER,NATGAS,32,0.02456466044764048,0.010379728940791162,111.1875,0.71875,0.33215132610531717
2.0,GOLD,NATGAS,36,0.010313692279503413,-0.0051474949351084645,122.83333333333333,0.6666666666666666,-0.18530981766390472
2.0,NATGAS,BRENT,23,0.02556708917734411,0.013341955169005807,93.30434782608695,0.782608695652174,0.30686496888713355
2.0,NATGAS,COFFEE,42,0.04392489772814786,0.032915112992335724,82.21428571428571,0.8333333333333334,1.3824347456781003
2.0,NATGAS,COPPER,34,0.025353491911444176,0.011982017294200018,103.76470588235294,0.6764705882352942,0.4073885880028006
2.0,NATGAS,GOLD,30,-0.019680043906150527,-0.03858232701117337,154.23333333333332,0.5666666666666667,-1.157469810335201
2.0,NATGAS,SOYBEANS,28,0.003819681453407326,-0.012466032832306963,130.35714285714286,0.6071428571428571,-0.349048919304595
2.0,NATGAS,SUGAR,37,0.021449609657083576,0.0066810054364245626,116.51351351351352,0.6486486486486487,0.24719720114770882
2.0,PLATINUM,SOYBEANS,29,0.017433601261727164,0.003371248876276049,110.06896551724138,0.7241379310344828,0.09776621741200542
2.0,SILVER,COFFEE,39,0.034052815176295145,0.022285340641697318,89.12820512820512,0.8205128205128205,0.8691282850261954
2.0,SOYBEANS,NATGAS,32,0.017406933366788408,0.0024685772024048464,118.0625,0.65625,0.07899447047695508
2.0,SOYBEANS,PLATINUM,27,0.010828884540488536,-0.0036723838511908114,114.07407407407408,0.7407407407407407,-0.09915436398215191
2.0,SOYBEANS,WHEAT,33,0.026220020095958946,0.013553353429292276,97.33333333333333,0.8181818181818182,0.4472606631666451
2.0,SUGAR,NATGAS,32,0.010503367998632681,-0.006434988165750884,136.3125,0.59375,-0.2059196213040283
2.0,WHEAT,BRENT,27,0.045179635521550056,0.0350578699203324,74.11111111111111,0.8518518518518519,0.9465624878489748
2.0,WHEAT,SOYBEANS,38,0.03850836865089756,0.02726539821109943,84.34210526315789,0.7631578947368421,1.0360851320217783
2.5,BRENT,NATGAS,16,0.04251077222430724,0.029113511950334625,104.0,0.6875,0.465816191205354
2.5,BRENT,WHEAT,15,0.03921042839169411,0.025791250309502342,104.2,0.8,0.3868687546425351
2.5,COFFEE,NATGAS,27,0.06432107964604941,0.052474301360914966,89.85185185185185,0.8148148148148148,1.416806136744704
2.5,COFFEE,SILVER,23,0.04311787999202202,0.031088100361289447,91.52173913043478,0.8260869565217391,0.7150263083096573
2.5,COPPER,NATGAS,21,0.027576398282959113,0.011439411981589247,129.0,0.7619047619047619,0.2402276516133742
2.5,GOLD,NATGAS,22,0.015030239108312953,-0.002725676209246204,143.77272727272728,0.6818181818181818,-0.059964876603416484
2.5,NATGAS,BRENT,16,0.04480040553911763,0.03145109047062448,103.5625,0.8125,0.5032174475299916
2.5,NATGAS,COFFEE,27,0.057266017518945084,0.04466023365288724,96.77777777777777,0.7777777777777778,1.2058263086279555
2.5,NATGAS,COPPER,20,0.01940961365032713,0.0028507095407380866,132.85,0.7,0.05701419081476173
2.5,NATGAS,GOLD,23,0.0019150047706769549,-0.017161826676613097,155.82608695652175,0.6521739130434783,-0.39472201356210124
2.5,NATGAS,SOYBEANS,19,-0.015324911449314893,-0.03477264036063429,159.21052631578948,0.5263157894736842,-0.6606801668520514
2.5,NATGAS,SUGAR,23,0.03841899476327355,0.023015778563154437,122.30434782608695,0.7391304347826086,0.5293629069525521
2.5,PLATINUM,SOYBEANS,19,0.031460115770548136,0.01688044742159355,114.78947368421052,0.5789473684210527,0.3207285010102775
2.5,SILVER,COFFEE,25,0.0396725487992309,0.026560220032107607,101.4,0.8,0.6640055008026902
2.5,SOYBEANS,NATGAS,23,0.018172725980155874,0.0011685568318533129,136.91304347826087,0.6521739130434783,0.026876807132626197
2.5,SOYBEANS,PLATINUM,18,0.023342851968986264,0.008453963080097368,117.61111111111111,0.7222222222222222,0.15217133544175263
2.5,SOYBEANS,WHEAT,19,0.0287517032832283,0.014477730680488564,112.0,0.7368421052631579,0.27507688292928273
2.5,SUGAR,NATGAS,20,0.026118813996631674,0.009094156462385098,137.1,0.6,0.18188312924770195
2.5,WHEAT,BRENT,10,0.032472722668781547,0.018297380203028117,111.1,0.7,0.18297380203028119
2.5,WHEAT,SOYBEANS,20,0.031081353940381785,0.017941627912984516,101.65,0.8,0.3588325582596903
3.0,BRENT,NATGAS,8,0.034528722738547166,0.014994476163204703,160.0,0.625,0.11995580930563762
3.0,BRENT,WHEAT,8,0.029916113542714704,0.011601045049564024,148.875,0.875,0.09280836039651219
3.0,COFFEE,NATGAS,14,0.07876936230643701,0.06797092786416693,80.28571428571429,0.9285714285714286,0.9515929900983371
3.0,COFFEE,SILVER,13,0.05735294153116836,0.04365220391262252,106.76923076923077,0.8461538461538461,0.5674786508640928
3.0,COPPER,NATGAS,10,0.02058560517187851,0.002771906541741523,144.3,0.7,0.02771906541741523
3.0,GOLD,NATGAS,17,0.014586691963719573,-0.003754967987932322,149.11764705882354,0.5882352941176471,-0.06383445579484948
3.0,NATGAS,BRENT,10,0.03337116728061983,0.016302674129934903,137.5,0.7,0.16302674129934902
3.0,NATGAS,COFFEE,11,0.08690624559718375,0.07689628295708412,73.0909090909091,0.9090909090909091,0.8458591125279253
3.0,NATGAS,COPPER,11,0.051653682473347944,0.03626389417945006,122.18181818181819,0.9090909090909091,0.3989028359739506
3.0,NATGAS,GOLD,14,-0.003618852598684116,-0.023090476864828936,159.42857142857142,0.6428571428571429,-0.3232666761076051
3.0,NATGAS,SOYBEANS,13,0.018423416134754848,-0.0005375954563937269,154.76923076923077,0.5384615384615384,-0.00698874093311845
3.0,NATGAS,SUGAR,14,0.040680784530487006,0.0240271641782365,133.71428571428572,0.7857142857142857,0.336380298495311
3.0,PLATINUM,SOYBEANS,10,0.057626923128831144,0.043824183402803744,107.7,0.7,0.43824183402803746
3.0,SILVER,COFFEE,14,0.04181914943958761,0.02628490286424514,123.5,0.7857142857142857,0.36798864009943194
3.0,SOYBEANS,NATGAS,14,0.0040589196703617785,-0.015545777002828049,160.64285714285714,0.42857142857142855,-0.21764087803959267
3.0,SOYBEANS,PLATINUM,12,0.028313657904393247,0.012478041466037072,126.25,0.6666666666666666,0.14973649759244487
3.0,SOYBEANS,WHEAT,12,0.023263083873845274,0.009317878394393221,109.0,0.6666666666666666,0.11181454073271865
3.0,SUGAR,NATGAS,13,0.04584582027404189,0.028520214373093513,139.84615384615384,0.7692307692307693,0.3707627868502157
3.0,WHEAT,BRENT,7,0.047824581059062066,0.033863720002310596,109.14285714285714,0.8571428571428571,0.2370460400161742
3.0,WHEAT,SOYBEANS,12,0.04276113371654664,0.027948348328418787,116.91666666666667,0.6666666666666666,0.3353801799410254
