Long,Short,confirmation_bars,exit_sd,n_trades,gross_wr,net_wr,avg_gross,avg_net,avg_winner_gross,avg_loser_gross,avg_winner_net,avg_loser_net,payoff_gross,payoff_net,avg_holding,median_holding,avg_spread_cost,avg_fin_cost,avg_total_cost
UKX,CBK,0,1.5,50,0.74,0.5,0.003234407331029296,-0.008506962531984403,0.012643499212056247,-0.02354531571497049,0.00898339175982848,-0.025997316823797287,0.5369857582337411,0.3455507282045857,35.32,23.0,0.004,0.007741369863013699,0.0117413698630137
UKX,CBK,1,1.5,50,0.74,0.48,0.0025585339394091472,-0.008599822224974416,0.011251520571539568,-0.022183043398192822,0.008585179573490852,-0.024462900808173125,0.5072126655288512,0.35094691511901643,32.66,20.0,0.004,0.007158356164383562,0.011158356164383562
UKX,CBK,2,1.5,48,0.6875,0.5,0.0011222846364947368,-0.009539815820126267,0.01041906993178401,-0.019330643013141666,0.005854867200760945,-0.02493449884101348,0.5389924134805424,0.2348099008563418,30.395833333333332,18.0,0.004,0.006662100456621005,0.010662100456621006
UKX,CBK,3,1.5,47,0.6808510638297872,0.425531914893617,0.0007913340957433031,-0.008067890620082988,0.009217855644246334,-0.017185245207729828,0.005656645178745595,-0.018234213434030085,0.5363819679512163,0.3102215074541538,22.170212765957448,7.0,0.004,0.004859224715826289,0.00885922471582629
UKX,CBK,0,1.8,77,0.8181818181818182,0.5454545454545454,0.0023346139666952266,-0.005718757319552773,0.007590871966120694,-0.021318547030719375,0.004272223777327074,-0.017707934635808588,0.35606891760411624,0.24126042168056566,18.493506493506494,10.0,0.004,0.004053371286247998,0.008053371286247998
UKX,CBK,1,1.8,75,0.76,0.4533333333333333,0.002043218799715582,-0.005580525492521862,0.007694449233892821,-0.01585234424184568,0.005582408798403474,-0.014837592953289217,0.4853824214579988,0.3762341247652274,16.533333333333335,7.0,0.004,0.003623744292237444,0.007623744292237444
UKX,CBK,2,1.8,69,0.5797101449275363,0.3188405797101449,0.0001261198282514975,-0.007218728295631767,0.007303344850498101,-0.00977350089208864,0.004981933018229895,-0.012929676144673394,0.7472598540825778,0.385309961555556,15.26086956521739,6.0,0.004,0.003344848123883264,0.007344848123883264
UKX,CBK,3,1.8,58,0.6551724137931034,0.29310344827586204,-0.0001541882241970143,-0.006746535885982562,0.00576726039268346,-0.011404940596269918,0.0048775793444414,-0.011566290981524204,0.5056808796154266,0.4217064357305866,11.827586206896552,3.0,0.004,0.002592347661785546,0.006592347661785547
UKX,CBK,0,2.0,118,0.7966101694915254,0.3559322033898305,0.0016322095125709797,-0.004633868964327092,0.005201793200748642,-0.012348659932791536,0.00352233893796189,-0.009141247015592059,0.4212435380891346,0.38532367979487925,10.338983050847459,6.0,0.004,0.0022660784768980735,0.0062660784768980736
UKX,CBK,1,2.0,112,0.75,0.39285714285714285,0.0021758601337010545,-0.0037145508252030557,0.006303231014806096,-0.01020625250961407,0.004504195905344959,-0.009032563415557651,0.6175852506949625,0.4986619742505156,8.625,3.0,0.004,0.00189041095890411,0.00589041095890411
